Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,001,452.125000,,0.000000,TSQL,69.3,69.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
2,002,453.225000,,0.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
3,003,454.325000,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
4,004,455.425000,,0.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
5,005,456.525000,,0.000000,TSQL,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
6,006,457.625000,,0.000000,TSQL,241.8,241.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
7,007,458.725000,,0.000000,DTCS,88.5,88.5,025,NN,025,Tone->Tone,FM,5.00,,5.0W,,,,,
8,008,459.825000,,0.000000,DTCS,88.5,88.5,134,NN,134,Tone->Tone,FM,5.00,,5.0W,,,,,
9,009,461.925000,,0.000000,DTCS,88.5,88.5,274,NN,274,Tone->Tone,FM,5.00,,5.0W,,,,,
10,010,462.225000,,0.000000,DTCS,88.5,88.5,346,NN,346,Tone->Tone,FM,5.00,,5.0W,,,,,
11,011,463.325000,,0.000000,DTCS,88.5,88.5,503,NN,503,Tone->Tone,FM,5.00,,5.0W,,,,,
12,012,464.425000,,0.000000,DTCS,88.5,88.5,073,RR,073,Tone->Tone,FM,5.00,,5.0W,,,,,
13,013,465.525000,,0.000000,DTCS,88.5,88.5,703,RR,703,Tone->Tone,FM,5.00,,5.0W,,,,,
14,014,402.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
15,015,437.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
16,016,479.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
17,017,138.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
18,018,157.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
19,019,172.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
20,020,438.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
21,021,155.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
