Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,FLD-C01,446.000000,,0.000000,DTCS,88.5,88.5,116,RR,116,Tone->Tone,FM,5.00,,5.0W,,,,,
2,FLD-C02,446.031250,,0.000000,DTCS,88.5,88.5,134,RR,134,Tone->Tone,FM,5.00,,5.0W,,,,,
3,FLD-C03,446.056250,,0.000000,DTCS,88.5,88.5,331,RR,331,Tone->Tone,FM,5.00,,5.0W,,,,,
4,FLD-C04,446.081250,,0.000000,DTCS,88.5,88.5,134,RR,134,Tone->Tone,FM,5.00,,5.0W,,,,,
5,FLD-C05,446.106250,,0.000000,DTCS,88.5,88.5,145,RR,145,Tone->Tone,FM,5.00,,5.0W,,,,,
6,FLD-C06,446.131250,,0.000000,DTCS,88.5,88.5,343,RR,343,Tone->Tone,FM,5.00,,5.0W,,,,,
7,FLD-C07,446.156250,,0.000000,DTCS,88.5,88.5,051,RR,051,Tone->Tone,FM,5.00,,5.0W,,,,,
8,FLD-C08,446.181250,,0.000000,DTCS,88.5,88.5,115,RR,115,Tone->Tone,FM,5.00,,5.0W,,,,,
9,FLD-C09,433.100000,,0.000000,DTCS,88.5,88.5,162,RR,162,Tone->Tone,FM,5.00,,5.0W,,,,,
10,FLD-C10,433.150000,,0.000000,DTCS,88.5,88.5,274,RR,274,Tone->Tone,FM,5.00,,5.0W,,,,,
11,FLD-C11,433.200000,,0.000000,DTCS,88.5,88.5,446,RR,446,Tone->Tone,FM,5.00,,5.0W,,,,,
12,FLD-C12,433.250000,,0.000000,DTCS,88.5,88.5,546,RR,546,Tone->Tone,FM,5.00,,5.0W,,,,,
13,FLD-C13,433.300000,,0.000000,DTCS,88.5,88.5,631,RR,631,Tone->Tone,FM,5.00,,5.0W,,,,,
14,FLD-C14,433.350000,,0.000000,DTCS,88.5,88.5,114,RR,114,Tone->Tone,FM,5.00,,5.0W,,,,,
15,FLD-C15,433.400000,,0.000000,DTCS,88.5,88.5,754,RR,754,Tone->Tone,FM,5.00,,5.0W,,,,,
16,FLD-CMD,433.450000,,0.000000,DTCS,88.5,88.5,466,RR,466,Tone->Tone,FM,5.00,,5.0W,,,,,
