Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,446.006250,,0.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
2,,446.018750,,0.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
3,,446.031250,,0.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
4,,446.043750,,0.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
5,,446.056250,,0.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
6,,446.068750,,0.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
7,,446.081250,,0.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
8,,446.093750,,0.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
9,,446.006250,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
10,,446.018750,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
11,,446.031250,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
12,,446.043750,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
13,,446.056250,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
14,,446.068750,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
15,,446.081250,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
16,,446.093750,,0.000000,DTCS,88.5,88.5,026,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
